term,nullable,firstset,followset
start,False,"'int','float','extern','void','bool'",""
program,False,"'int','float','extern','void','bool'","EOF"
extern_list,False,"'extern'","'int','void','float','bool'"
extern_list1,True,"epsilon,'extern'","'int','void','float','bool'"
extern,False,"'extern'","'int','float','extern','void','bool'"
decl_list,False,"'int','void','float','bool'","EOF"
decl_list1,True,"'int',epsilon,'float','void','bool'","EOF"
decl,False,"'int','float','void','bool'","EOF,'int','float','void','bool'"
var_decl,False,"'int','float','bool'","EOF,'int','float','void','bool'"
type_spec,False,"'void','float','bool','int'","IDENT"
var_type,False,"'int','float','bool'","IDENT"
fun_decl,False,"'void','float','bool','int'","EOF,'int','float','void','bool'"
params,True,"'int',epsilon,'float','void','bool'","')'"
param_list,False,"'int','float','bool'","')'"
param_list1,True,"',',epsilon","')'"
param,False,"'int','float','bool'","',',')'"
block,False,"'{'","FLOAT_LIT,'else','{',INT_LIT,'void',IDENT,'(','}',EOF,'-',BOOL_LIT,'int','if','float','return','while','!',';','bool'"
local_decls,True,"'int',epsilon,'float','bool'","IDENT,'(',FLOAT_LIT,'-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'"
local_decl,False,"'int','float','bool'","IDENT,'(',FLOAT_LIT,'-',BOOL_LIT,'int','float','if','return','{','!','while',INT_LIT,';','bool'"
stmt_list,True,"IDENT,'(',FLOAT_LIT,epsilon,'-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'","'}'"
stmt,False,"IDENT,'(',FLOAT_LIT,'-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'","IDENT,'(',FLOAT_LIT,'}','-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'"
expr_stmt,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT,';'","IDENT,'(',FLOAT_LIT,'}','-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'"
while_stmt,False,"'while'","IDENT,'(',FLOAT_LIT,'}','-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'"
if_stmt,False,"'if'","IDENT,'(',FLOAT_LIT,'}','-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'"
else_stmt,True,"epsilon,'else'","IDENT,'(',FLOAT_LIT,'}','-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'"
return_stmt,False,"'return'","IDENT,'(',FLOAT_LIT,'}','-',BOOL_LIT,'if','return','{','!','while',INT_LIT,';'"
expr,False,"IDENT,'(',FLOAT_LIT,'-',BOOL_LIT,'!',INT_LIT","',',')',';'"
rval,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","',',')',';'"
rval_lf,True,"'||',epsilon","',',')',';'"
rval1,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","',','||',')',';'"
rval1_lf,True,"epsilon,'&&'","',','||',')',';'"
rval2,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","',','||',')','&&',';'"
rval2_lf,True,"'==',epsilon,'!='","',','||',')','&&',';'"
rval3,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","',','||','!=',')','==','&&',';'"
rval3_lf,True,"'<=','>=',epsilon,'<','>'","',','||','!=',')','==','&&',';'"
rval4,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","'>=','>',')','==','<=',',','||','!=','&&','<',';'"
rval4_lf,True,"epsilon,'-','+'","'>=','>',')','==','<=',',','||','!=','&&','<',';'"
rval5,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","'>=','<','-',')','+','==','<=',',','||','!=','&&','>',';'"
rval5_lf,True,"epsilon,'*','%','/'","'>=','<','-',')','+','==','<=',',','||','!=','&&','>',';'"
rval6,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","'<',')','>','<=','*','!=','>=','-','+','==',',','||',';','&&','%','/'"
rval7,False,"IDENT,'(',FLOAT_LIT,INT_LIT,BOOL_LIT","'<',')','>','<=','*','!=','>=','-','+','==',',','||',';','&&','%','/'"
args,True,"IDENT,'(',FLOAT_LIT,epsilon,'-',BOOL_LIT,'!',INT_LIT","')'"
arg_list,False,"IDENT,'(',FLOAT_LIT,'-','!',INT_LIT,BOOL_LIT","')'"
arg_list1,True,"',',epsilon","')'"
epsilon,True,"","N/A"
'(',False,"'('","N/A"
')',False,"')'","N/A"
'{',False,"'{'","N/A"
'}',False,"'}'","N/A"
';',False,"';'","N/A"
',',False,"','","N/A"
'+',False,"'+'","N/A"
'-',False,"'-'","N/A"
'*',False,"'*'","N/A"
'/',False,"'/'","N/A"
'%',False,"'%'","N/A"
'<',False,"'<'","N/A"
'>',False,"'>'","N/A"
'!',False,"'!'","N/A"
'=',False,"'='","N/A"
'<=',False,"'<='","N/A"
'>=',False,"'>='","N/A"
'==',False,"'=='","N/A"
'!=',False,"'!='","N/A"
'||',False,"'||'","N/A"
'&&',False,"'&&'","N/A"
'extern',False,"'extern'","N/A"
'if',False,"'if'","N/A"
'else',False,"'else'","N/A"
'while',False,"'while'","N/A"
'return',False,"'return'","N/A"
'void',False,"'void'","N/A"
'int',False,"'int'","N/A"
'float',False,"'float'","N/A"
'bool',False,"'bool'","N/A"
BOOL_LIT,False,"BOOL_LIT","N/A"
INT_LIT,False,"INT_LIT","N/A"
FLOAT_LIT,False,"FLOAT_LIT","N/A"
IDENT,False,"IDENT","N/A"
EOF,False,"EOF","N/A"
