term;nullable;firstset;followset
start;False;"'bool','float','int','void','extern'";""
program;False;"'bool','float','int','void','extern'";"EOF"
extern_list;False;"'extern'";"'bool','float','int','void'"
extern_list1;True;"epsilon,'extern'";"'bool','float','int','void'"
extern;False;"'extern'";"'bool','float','int','void','extern'"
decl_list;False;"'bool','float','int','void'";"EOF"
decl_list1;True;"'bool',epsilon,'float','int','void'";"EOF"
decl;False;"'bool','float','int','void'";"'bool','float','int','void',EOF"
var_decl;False;"'bool','float','int'";"'bool','float','int','void',EOF"
type_spec;False;"'bool','float','int','void'";"IDENT"
var_type;False;"'bool','float','int'";"IDENT"
fun_decl;False;"'bool','float','int','void'";"'bool','float','int','void',EOF"
params;True;"'bool',epsilon,'float','int','void'";"')'"
param_list;False;"'bool','float','int'";"')'"
param_list1;True;"epsilon,','";"')'"
param;False;"'bool','float','int'";"',',')'"
block;False;"'{'";"';','if',BOOL_LIT,FLOAT_LIT,'bool','float','!','while','return','void','-','{','else',INT_LIT,'int','}','(',EOF,IDENT"
local_decls;True;"'bool','float',epsilon,'int'";"';',INT_LIT,'if',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'"
local_decl;False;"'bool','float','int'";"';','int',INT_LIT,'if',BOOL_LIT,'(',FLOAT_LIT,'bool','float','!','while','return',IDENT,'-','{'"
stmt_list;True;"';',epsilon,INT_LIT,'if',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'";"'}'"
stmt;False;"';',INT_LIT,'if',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'";"';',INT_LIT,'if','}',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'"
expr_stmt;False;"';','!',INT_LIT,IDENT,'-',BOOL_LIT,'(',FLOAT_LIT";"';',INT_LIT,'if','}',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'"
while_stmt;False;"'while'";"';',INT_LIT,'if','}',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'"
if_stmt;False;"'if'";"';',INT_LIT,'if','}',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'"
else_stmt;True;"epsilon,'else'";"';',INT_LIT,'if','}',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'"
return_stmt;False;"'return'";"';',INT_LIT,'if','}',BOOL_LIT,'(',FLOAT_LIT,'!','while','return',IDENT,'-','{'"
expr;False;"INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"';',')',','"
rval;False;"INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"';',')',','"
rval1;False;"INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"',',';',')','||'"
rval2;False;"INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"';',',',')','&&','||'"
rval3;False;"INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"';',',',')','==','&&','||'"
rval4;False;"INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"'||',';',',',')','==','>=','>','<=','&&','<'"
rval5;False;"INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"';','&&',',',')','<=','+','>=','-','>','==','||','<'"
rval6;False;"'!',INT_LIT,IDENT,'-',BOOL_LIT,'(',FLOAT_LIT";"';',',',')','*','<','%','+','/','==','>=','-','>','<=','&&','||'"
rval7;False;"INT_LIT,IDENT,BOOL_LIT,'(',FLOAT_LIT";"';',',',')','*','<','%','+','/','==','>=','-','>','<=','&&','||'"
args;True;"epsilon,INT_LIT,BOOL_LIT,'(',FLOAT_LIT,'!',IDENT,'-'";"')'"
arg_list;False;"'!',INT_LIT,IDENT,'-',BOOL_LIT,'(',FLOAT_LIT";"')'"
arg_list1;True;"epsilon,','";"')'"
epsilon;True;"";"N/A"
'(';False;"'('";"N/A"
')';False;"')'";"N/A"
'{';False;"'{'";"N/A"
'}';False;"'}'";"N/A"
';';False;"';'";"N/A"
',';False;"','";"N/A"
'+';False;"'+'";"N/A"
'-';False;"'-'";"N/A"
'*';False;"'*'";"N/A"
'/';False;"'/'";"N/A"
'%';False;"'%'";"N/A"
'<';False;"'<'";"N/A"
'>';False;"'>'";"N/A"
'!';False;"'!'";"N/A"
'=';False;"'='";"N/A"
'<=';False;"'<='";"N/A"
'>=';False;"'>='";"N/A"
'==';False;"'=='";"N/A"
'!=';False;"'!='";"N/A"
'||';False;"'||'";"N/A"
'&&';False;"'&&'";"N/A"
'extern';False;"'extern'";"N/A"
'if';False;"'if'";"N/A"
'else';False;"'else'";"N/A"
'while';False;"'while'";"N/A"
'return';False;"'return'";"N/A"
'void';False;"'void'";"N/A"
'int';False;"'int'";"N/A"
'float';False;"'float'";"N/A"
'bool';False;"'bool'";"N/A"
BOOL_LIT;False;"BOOL_LIT";"N/A"
INT_LIT;False;"INT_LIT";"N/A"
FLOAT_LIT;False;"FLOAT_LIT";"N/A"
IDENT;False;"IDENT";"N/A"
EOF;False;"EOF";"N/A"
